time,P,Q,R,Phi,The,Psi,U,V,W,X,Y,Z,RPM1,RPM2,RPM3,RPM4,mc1,mc2,mc3,mc4,Phi_cmd,The_cmd,Psi_cmd,Alt_cmd
1.4,0,0,0,0,0,0,0,0,0.0341223805362712,0,0,3.00458776150924,4113.59250297105,4113.59250297105,4113.59250297105,4113.59250297105,38.9251032172189,38.9251032172189,38.9251032172189,38.9251032172189,0,0,0,3.048
1.42,0,0,0,0,0,0,0,0,0.0346220843132588,0,0,3.00527523342541,4113.4171293912,4113.4171293912,4113.4171293912,4113.4171293912,38.9229989994618,38.9229989994618,38.9229989994618,38.9229989994618,0,0,0,3.048
1.44,0,0,0,0,0,0,0,0,0.0351050899895279,0,0,3.00597253218639,4113.24342984838,4113.24342984838,4113.24342984838,4113.24342984838,38.9209152645369,38.9209152645369,38.9209152645369,38.9209152645369,0,0,0,3.048
1.46,0,0,0,0,0,0,0,0,0.0355715580623448,0,0,3.00667932543616,4113.07139689409,4113.07139689409,4113.07139689409,4113.07139689409,38.918851933761,38.918851933761,38.918851933761,38.918851933761,0,0,0,3.048
1.48,0,0,0,0,0,0,0,0,0.0360216483104133,0,0,3.00739528402141,4112.9010233742,4112.9010233742,4112.9010233742,4112.9010233742,38.9168089317408,38.9168089317408,38.9168089317408,38.9168089317408,0,0,0,3.048
1.5,0,0,0,0,0,0,0,0,0.0364555198219498,0,0,3.00812008197749,4112.73230242061,4112.73230242061,4112.73230242061,4112.73230242061,38.9147861862365,38.9147861862365,38.9147861862365,38.9147861862365,0,0,0,3.048
1.52,0,0,0,0,0,0,0,0,0.0368733310219236,0,0,3.00885339651479,4112.56522744238,4112.56522744238,4112.56522744238,4112.56522744238,38.912783628028,38.912783628028,38.912783628028,38.912783628028,0,0,0,3.048
1.54,0,0,0,0,0,0,0,0,0.0372752396984182,0,0,3.00959490800581,4112.39979211635,4112.39979211635,4112.39979211635,4112.39979211635,38.9108011907826,38.9108011907826,38.9108011907826,38.9108011907826,0,0,0,3.048
1.56,0,0,0,0,0,0,0,0,0.0376614030280769,0,0,3.01034429997268,4112.2359903776,4112.2359903776,4112.2359903776,4112.2359903776,38.9088388109249,38.9088388109249,38.9088388109249,38.9088388109249,0,0,0,3.048
1.58,0,0,0,0,0,0,0,0,0.0380319776006155,0,0,3.01110125907511,4112.07381640964,4112.07381640964,4112.07381640964,4112.07381640964,38.9068964275093,38.9068964275093,38.9068964275093,38.9068964275093,0,0,0,3.048
1.6,0,0,0,0,0,0,0,0,0.0383871194423872,0,0,3.01186547509897,4111.91326463454,4111.91326463454,4111.91326463454,4111.91326463454,38.9049739820947,38.9049739820947,38.9049739820947,38.9049739820947,0,0,0,3.048
1.62,0,0,0,0,0,0,0,0,0.0387269840389968,0,0,3.01263664094519,4111.75432970308,4111.75432970308,4111.75432970308,4111.75432970308,38.9030714186221,38.9030714186221,38.9030714186221,38.9030714186221,0,0,0,3.048
1.64,0,0,0,0,0,0,0,0,0.0390517263569647,0,0,3.01341445261921,4111.59700648488,4111.59700648488,4111.59700648488,4111.59700648488,38.9011886832935,38.9011886832935,38.9011886832935,38.9011886832935,0,0,0,3.048
1.66,0,0,0,0,0,0,0,0,0.0393615008644443,0,0,3.01419860922077,4111.44129005859,4111.44129005859,4111.44129005859,4111.44129005859,38.8993257244549,38.8993257244549,38.8993257244549,38.8993257244549,0,0,0,3.048
1.68,0,0,0,0,0,0,0,0,0.0396564615510036,0,0,3.01498881293416,4111.28717570227,4111.28717570227,4111.28717570227,4111.28717570227,38.8974824924809,38.8974824924809,38.8974824924809,38.8974824924809,0,0,0,3.048
1.7,0,0,0,0,0,0,0,0,0.0399367619464803,0,0,3.01578476901883,4111.13465888373,4111.13465888373,4111.13465888373,4111.13465888373,38.8956589396618,38.8956589396618,38.8956589396618,38.8956589396618,0,0,0,3.048
1.72,0,0,0,0,0,0,0,0,0.0402025551389244,0,0,3.01658618580039,4110.9837352512,4110.9837352512,4110.9837352512,4110.9837352512,38.893855020093,38.893855020093,38.893855020093,38.893855020093,0,0,0,3.048
1.74,0,0,0,0,0,0,0,0,0.0404539937916425,0,0,3.01739277466192,4110.83440062404,4110.83440062404,4110.83440062404,4110.83440062404,38.8920706895683,38.8920706895683,38.8920706895683,38.8920706895683,0,0,0,3.048
1.76,0,0,0,0,0,0,0,0,0.0406912301593592,0,0,3.01820425003569,4110.68665098359,4110.68665098359,4110.68665098359,4110.68665098359,38.8903059054734,38.8903059054734,38.8903059054734,38.8903059054734,0,0,0,3.048
1.78,0,0,0,0,0,0,0,0,0.0409144161035128,0,0,3.01902032939506,4110.54048246434,4110.54048246434,4110.54048246434,4110.54048246434,38.8885606266841,38.8885606266841,38.8885606266841,38.8885606266841,0,0,0,3.048
1.8,0,0,0,0,0,0,0,0,0.0411237031067016,0,0,3.01984073324686,4110.39589134508,4110.39589134508,4110.39589134508,4110.39589134508,38.8868348134649,38.8868348134649,38.8868348134649,38.8868348134649,0,0,0,3.048
1.82,0,0,0,0,0,0,0,0,0.0413192422862986,0,0,3.02066518512385,4110.25287404041,4110.25287404041,4110.25287404041,4110.25287404041,38.8851284273716,38.8851284273716,38.8851284273716,38.8851284273716,0,0,0,3.048
1.84,0,0,0,0,0,0,0,0,0.0415011844072522,0,0,3.02149341157762,4110.1114270923,4110.1114270923,4110.1114270923,4110.1114270923,38.8834414311553,38.8834414311553,38.8834414311553,38.8834414311553,0,0,0,3.048
1.86,0,0,0,0,0,0,0,0,0.0416696798940905,0,0,3.02232514217165,4109.97154716194,4109.97154716194,4109.97154716194,4109.97154716194,38.8817737886691,38.8817737886691,38.8817737886691,38.8817737886691,0,0,0,3.048
1.88,0,0,0,0,0,0,0,0,0.0418248788421481,0,0,3.02316010947456,4109.83323102168,4109.83323102168,4109.83323102168,4109.83323102168,38.8801254647769,38.8801254647769,38.8801254647769,38.8801254647769,0,0,0,3.048
1.9,0,0,0,0,0,0,0,0,0.0419669310280309,0,0,3.02399804905372,4109.69647554722,4109.69647554722,4109.69647554722,4109.69647554722,38.8784964252646,38.8784964252646,38.8784964252646,38.8784964252646,0,0,0,3.048
1.92,0,0,0,0,0,0,0,0,0.0420959859193397,0,0,3.02483869946889,4109.56127770997,4109.56127770997,4109.56127770997,4109.56127770997,38.8768866367534,38.8768866367534,38.8768866367534,38.8768866367534,0,0,0,3.048
